"","CARREIRA","CARGO","occupation_native","occupation_english"
"302","ASSESSOR PREVIDENCIARIO","ASSESSOR PREVIDENCIARIO","assessor previdenciario","previdencing advisor"
"303","OPERADOR HABITACIONAL","OPERADOR HABITACIONAL","operador habitacional","housing operator"
"304","AGENTE DE PORTARIA","AGENTE DE PORTARIA","agente de portaria","ordinance agent"
"305","PROC. AUT. ESTAD 3 CLASSE","PROC. AUT. ESTAD 3 CLASSE","proc. aut. estad 3 classe","proc. aut. estad 3 class"
"306","TECNICO ADMINISTRATIVO","TECNICO ADMINISTRATIVO","tecnico administrativo","administrative technician"
"307","SOLDADO SEGUNDA CLASSE","SOLDADO SEGUNDA CLASSE","soldado segunda classe","second class soldier"
"308","ASPIRANTE","ASPIRANTE","aspirante","aspiring"
"309","LOCUTOR APRESENTADOR ANIM","LOCUTOR APRESENTADOR ANIM","locutor apresentador anim","anim presenter announcer"
"310","REPORTER","REPORTER","reporter","reporter"
"311","DISCOTECARIO","DISCOTECARIO","discotecario","disc jockey"
"312","LOCUTOR COMENTARISTA ESPO","LOCUTOR COMENTARISTA ESPO","locutor comentarista espo","esporte commentary announcer"
"313","ASSISTENTE TECNICO II","ASSISTENTE TECNICO II","assistente tecnico ii","technical assistant ii"
"314","TECNICO EM EDFICACOES","TECNICO EM EDFICACOES","tecnico em edficacoes","edfications technician"
"315","AUXILIAR DE SERVICOS GERA","AUXILIAR DE SERVICOS GERA","auxiliar de servicos gera","service assistant generates"
"316","TECNICO EM RECURSOS HUMAN","TECNICO EM RECURSOS HUMAN","tecnico em recursos human","technical in human resources"
"317","SERVIDOR GOV. PERNAMBUCO","SERVIDOR GOV. PERNAMBUCO","servidor gov. pernambuco","gov server. pernambuco"
"318","TECNICO EM FINANCAS I","TECNICO EM FINANCAS I","tecnico em financas i","technical in finances i"
"319","SERVIDOR DA EMATER PARA","SERVIDOR DA EMATER PARA","servidor da emater para","emater server for"
"320","ASSIS.AUX.DE ADM.GERAL","ASSIS.AUX.DE ADM.GERAL","assis.aux.de adm.geral","assis.aux.de adm.geral"
"321","AG. DE ADM. LEGISLATIVO","AG. DE ADM. LEGISLATIVO","ag. de adm. legislativo","ag. of adm. legislative"
"322","ENCADERNADOR","ENCADERNADOR","encadernador","binder"
"323","DESENHISTA ARTE FINALISTA","DESENHISTA ARTE FINALISTA","desenhista arte finalista","designer art finalist"
"324","DESENHISTA SUPERVISOR","DESENHISTA SUPERVISOR","desenhista supervisor","supervisor designer"
"325","DIAGRAMADOR","DIAGRAMADOR","diagramador","diagrammer"
"326","TITULEIRO FOTOCOMPOSICAO","TITULEIRO FOTOCOMPOSICAO","tituleiro fotocomposicao","holder photocomposition"
"327","SUPERVISOR DE PRODUCAO","SUPERVISOR DE PRODUCAO","supervisor de producao","production supervisor"
"328","IMPRESSOR ROTATISTA","IMPRESSOR ROTATISTA","impressor rotatista","rotist printer"
"329","MONTADOR RETOCADOR","MONTADOR RETOCADOR","montador retocador","retouching assembler"
"330","FOTOLIGRAFISTA","FOTOLIGRAFISTA","fotoligrafista","photoligrapist"
"331","IMPRESSOR OFF-SET","IMPRESSOR OFF-SET","impressor off-set","off-set printer"
"332","OFICIAL DE ACABAMENTO","OFICIAL DE ACABAMENTO","oficial de acabamento","finishing officer"
"333","REVISOR","REVISOR","revisor","reviewer"
"334","REVISOR SUPERVISOR","REVISOR SUPERVISOR","revisor supervisor","supervisor reviewer"
"335","TIPOGRAFO CHAPISTA","TIPOGRAFO CHAPISTA","tipografo chapista","chapist"
"336","SUPERVISOR DE ORCAMENTO","SUPERVISOR DE ORCAMENTO","supervisor de orcamento","orcamento supervisor"
"337","PAGINADOR","PAGINADOR","paginador","paginator"
"338","APONTADOR DE PRODUCAO","APONTADOR DE PRODUCAO","apontador de producao","producer"
"339","CORTADOR","CORTADOR","cortador","cutter"
"340","DISTRIBUIDOR","DISTRIBUIDOR","distribuidor","distributor"
"341","PESTA PISTA","PESTA PISTA","pesta pista","track"
"342","ORCAMENTISTA","ORCAMENTISTA","orcamentista","orcamentary"
"343","EXPEDIDOR","EXPEDIDOR","expedidor","expeditor"
"344","ASSIST SUPERVISAO GRAFICO","ASSIST SUPERVISAO GRAFICO","assist supervisao grafico","assist supervisory graph"
"345","FUNCIONARIO TRIBUNAL DE C","FUNCIONARIO TRIBUNAL DE C","funcionario tribunal de c","court of court of c"
"346","ASS SERV ADMINISTRATIVOS","ASS SERV ADMINISTRATIVOS","ass serv administrativos","ass administrative serv"
"347","ENGENHEIRO CIVIL","ENGENHEIRO CIVIL","engenheiro civil","civil engineer"
"348","TEC DE SINALIZACAO","TEC DE SINALIZACAO","tec de sinalizacao","signalization tec"
"349","EDIFICACOES","EDIFICACOES","edificacoes","edifications"
"350","ELETRONICA","ELETRONICA","eletronica","electronic"
"351","MECANICA","MECANICA","mecanica","mechanics"
"352","TECNOLOGIA DA INFORMACAO","TECNOLOGIA DA INFORMACAO","tecnologia da informacao","information technology"
"353","ECONOMIA","ECONOMIA","economia","economy"
"354","ENGENHARIA MECANICA","ENGENHARIA MECANICA","engenharia mecanica","mechanical engineering"
"355","MEDICINA","MEDICINA","medicina","medicine"
"356","PEDAGOGIA","PEDAGOGIA","pedagogia","pedagogy"
"357","PSIGOLOGIA","PSIGOLOGIA","psigologia","psigology"
"358","FUNCIONARIO DO GOVERNO RI","FUNCIONARIO DO GOVERNO RI","funcionario do governo ri","ri government employee"
"359","DESENHISTA TECNICO","DESENHISTA TECNICO","desenhista tecnico","technical designer"
"360","PROGRAMADOR DE COMPUTADOR","PROGRAMADOR DE COMPUTADOR","programador de computador","computer programmer"
"361","FUNC GOVERNO DE MINAS GER","FUNC GOVERNO DE MINAS GER","func governo de minas ger","func government of minas ger"
"362","TECNICO EM FINANCAS II","TECNICO EM FINANCAS II","tecnico em financas ii","technical in finances ii"
"363","ALUNO SEGUNDO ANO","ALUNO SEGUNDO ANO","aluno segundo ano","second year"
"364","ALUNO PRIMEIRO ANO","ALUNO PRIMEIRO ANO","aluno primeiro ano","first year"
"365","ALUNO TERCEIRO ANO","ALUNO TERCEIRO ANO","aluno terceiro ano","student third year"
"366","PAPILOSCOPISTA","PAPILOSCOPISTA","papiloscopista","papilloscopista"
"367","FONOAUDIOLOGO","FONOAUDIOLOGO","fonoaudiologo","speech therapy"
"368","PERITO ODONTO LEGAL","PERITO ODONTO LEGAL","perito odonto legal","legal odonto expert"
"369","DEFENSOR PUBLICO","DEFENSOR PUBLICO","defensor publico","public defender"
"370","ASSESSOR TECNICO","ASSESSOR TECNICO","assessor tecnico","technical advisor"
"371","SUPERINTENDENTE","SUPERINTENDENTE","superintendente","superintendent"
"372","GERENTE","GERENTE","gerente","manager"
"373","COORDENADOR SETORIAL","COORDENADOR SETORIAL","coordenador setorial","sectoral coordinator"
"374","ASSISTENTE PROC ASS ORGAO","ASSISTENTE PROC ASS ORGAO","assistente proc ass orgao","assistant proc assist"
"375","ASSESSOR III","ASSESSOR III","assessor iii","advisor iii"
"376","GERENTE DE NUCLEO","GERENTE DE NUCLEO","gerente de nucleo","nucleus manager"
"377","ASSESSOR TEC. INTERM. QUA","ASSESSOR TEC. INTERM. QUA","assessor tec. interm. qua","tec. interim. wed"
"378","DIRETOR","DIRETOR","diretor","director"
"379","QUIMICO","QUIMICO","quimico","chemical"
"380","TECNICO HIGIENE DENTARIA","TECNICO HIGIENE DENTARIA","tecnico higiene dentaria","technical hygiene dentaria"
"381","TECNICO DE REABILITACAO","TECNICO DE REABILITACAO","tecnico de reabilitacao","rehabilitation technician"
"382","CHEFE DE GABINETE","CHEFE DE GABINETE","chefe de gabinete","cabinet chief"
"383","DIRETOR CONSELHEIRO EXECU","DIRETOR CONSELHEIRO EXECU","diretor conselheiro execu","director counselor"
"384","DIRETOR DE RECURSOS HUMAN","DIRETOR DE RECURSOS HUMAN","diretor de recursos human","human resource director"
"385","EDITOR DE IMAGENS","EDITOR DE IMAGENS","editor de imagens","image editor"
"386","LOCUTOR ESPORTIVO","LOCUTOR ESPORTIVO","locutor esportivo","sportsman"
"387","OPERADOR DE MAQUINA DE CA","OPERADOR DE MAQUINA DE CA","operador de maquina de ca","ca machine operator"
"388","OPERADOR DE CAMERA","OPERADOR DE CAMERA","operador de camera","camera operator"
"389","OPERADOR DE CONTROLE MEST","OPERADOR DE CONTROLE MEST","operador de controle mest","mest control operator"
"390","ADVOGADO DE FUNDACAO","ADVOGADO DE FUNDACAO","advogado de fundacao","foundation lawyer"
"391","TECNICO MANUTENCAO RADIO","TECNICO MANUTENCAO RADIO","tecnico manutencao radio","radio maintenance technician"
"392","PRODUTOR GRAFICO VISUAL","PRODUTOR GRAFICO VISUAL","produtor grafico visual","visual graphic producer"
"393","TECNICO DE AUDIO","TECNICO DE AUDIO","tecnico de audio","audio technician"
"394","TECNICO DE MANUTENCAO - T","TECNICO DE MANUTENCAO - T","tecnico de manutencao - t","maintenance technician - t"
"395","OPERADOR DE GRAVACAO","OPERADOR DE GRAVACAO","operador de gravacao","record operator"
"396","OPERADOR TRANS DE RADIO","OPERADOR TRANS DE RADIO","operador trans de radio","radio operator"
"397","LOCUTOR NOTICIARISTA DE T","LOCUTOR NOTICIARISTA DE T","locutor noticiarista de t","t newsletter of t"
"398","LOCUTOR ANUNCIADOR","LOCUTOR ANUNCIADOR","locutor anunciador","announcer"
"399","LOCUTOR ENTREVISTADOR","LOCUTOR ENTREVISTADOR","locutor entrevistador","interviewer"
"400","OPERADOR DE AUDIO","OPERADOR DE AUDIO","operador de audio","audio operator"
"401","ROTEIRISTA INT COMERCIAIS","ROTEIRISTA INT COMERCIAIS","roteirista int comerciais","int trade rotener"
"402","COORDENADOR DE PROGRAMACA","COORDENADOR DE PROGRAMACA","coordenador de programaca","programaca coordinator"
"403","LOCUTOR NOTICIARISTA DE R","LOCUTOR NOTICIARISTA DE R","locutor noticiarista de r","r -announcer of r"
"404","CABELEIREIRA","CABELEIREIRA","cabeleireira","hairdresser"
"405","AUXILIAR DE LABORATORIO","AUXILIAR DE LABORATORIO","auxiliar de laboratorio","laboratory assistant"
"406","DIRETOR DE IMAGENS","DIRETOR DE IMAGENS","diretor de imagens","image director"
"407","LOCUTOR COMENTARIATA ESPO","LOCUTOR COMENTARIATA ESPO","locutor comentariata espo","commenting announcer esporte"
"408","TECNICO DE MANUTANCAO ELE","TECNICO DE MANUTANCAO ELE","tecnico de manutancao ele","keying technical he"
"409","TECNICO DE ELETRICIDADE","TECNICO DE ELETRICIDADE","tecnico de eletricidade","electricity technician"
"410","DIRETOR OPERACIONAL","DIRETOR OPERACIONAL","diretor operacional","operating director"
"411","FUNCIONARIO DO GOVERNO DA","FUNCIONARIO DO GOVERNO DA","funcionario do governo da","government employee of"
"412","ASSESSOR DE COMUNICACAO","ASSESSOR DE COMUNICACAO","assessor de comunicacao","communication advisor"
"413","SECRETARIO DE ESTADO ADJU","SECRETARIO DE ESTADO ADJU","secretario de estado adju","secretary of state adju"
"414","ASSISTENTE DE ESTUDIO","ASSISTENTE DE ESTUDIO","assistente de estudio","assistant"
"415","COORDENADOR GERAL","COORDENADOR GERAL","coordenador geral","general coordinator"
"416","TECNICO DE LABORATORIO","TECNICO DE LABORATORIO","tecnico de laboratorio","laboratory technician"
"417","DIRETOR TECNICO","DIRETOR TECNICO","diretor tecnico","technical director"
"418","ASSESSOR TECNICO DE CONTR","ASSESSOR TECNICO DE CONTR","assessor tecnico de contr","contr technical advisor"
"419","ESTAGIARIO","ESTAGIARIO","estagiario","trainee"
"420","SUPERVISOR TECNICO DE RAD","SUPERVISOR TECNICO DE RAD","supervisor tecnico de rad","rad technical supervisor"
"421","SOLDADO VOLUNTARIO","SOLDADO VOLUNTARIO","soldado voluntario","voluntary soldier"
"422","OUVIDOR","OUVIDOR","ouvidor","listener"
"423","FUNC PREFEITURA DE SAO PA","FUNC PREFEITURA DE SAO PA","func prefeitura de sao pa","func prefecture of sao pa"
"424","SECRETARIO ESCOLAR","SECRETARIO ESCOLAR","secretario escolar","school secretary"
"425","RESIDENCIA MEDICA","RESIDENCIA MEDICA","residencia medica","medical residence"
"426","CORREGEDOR","CORREGEDOR","corregedor","corregidor"
"427","RESIDENCIA DE ENFERMAGEM","RESIDENCIA DE ENFERMAGEM","residencia de enfermagem","nursing residence"
"428","TECNICO EM ELETRICIDADE","TECNICO EM ELETRICIDADE","tecnico em eletricidade","technical in electricity"
"429","TECNICO EM ELETRONICA","TECNICO EM ELETRONICA","tecnico em eletronica","electronics technician"
"430","TEC EM RECURSOS HUMANOS","TEC EM RECURSOS HUMANOS","tec em recursos humanos","tec in human resources"
"431","DIRETOR PRESIDENTE","DIRETOR PRESIDENTE","diretor presidente","ceo"
"432","PROFESSOR VISITANTE","PROFESSOR VISITANTE","professor visitante","visiting teacher"
"433","TECNICO EM RAIO X *","TECNICO EM RAIO X *","tecnico em raio x *","x -ray technician *"
"434","SONOPLASTA","SONOPLASTA","sonoplasta","sonlasta"
"435","SOLDADO TERCEIRA CLASSE","SOLDADO TERCEIRA CLASSE","soldado terceira classe","third class soldier"
"436","AGENTE PENITENCIARIO","AGENTE PENITENCIARIO","agente penitenciario","penitentiary"
"437","FISCAL ESTADUAL AGROPECUA","FISCAL ESTADUAL AGROPECUA","fiscal estadual agropecua","agropecual state tax"
"438","AUX SERV AGROPECUARIO","AUX SERV AGROPECUARIO","aux serv agropecuario","aux serv agropecuario"
"439","AGENTE FISCAL AGROPECUARI","AGENTE FISCAL AGROPECUARI","agente fiscal agropecuari","fiscal agent agropecuari"
"440","EM BRANCO","EM BRANCO","em branco","blank"
"441","PROCURADOR GERAL DE ESTAD","PROCURADOR GERAL DE ESTAD","procurador geral de estad","estad attorney general"
"442","SECRETARIO DE ESTADO","SECRETARIO DE ESTADO","secretario de estado","secretary of state"
"443","COORDENADOR GERAL FINANCE","COORDENADOR GERAL FINANCE","coordenador geral finance","general coordinator finance"
"444","ASSESSOR DE PROC ASSUNTOS","ASSESSOR DE PROC ASSUNTOS","assessor de proc assuntos","proc advisor affairs"
"445","CONTROLADOR GERAL DO ESTA","CONTROLADOR GERAL DO ESTA","controlador geral do esta","general controller of this"
"446","DIRETOR PRESIDENTE ADJUNT","DIRETOR PRESIDENTE ADJUNT","diretor presidente adjunt","adjunt president director"
"447","GOVERNADOR DE ESTADO","GOVERNADOR DE ESTADO","governador de estado","state governor"
"448","SECRETARIO-CHEFE DO GABIN","SECRETARIO-CHEFE DO GABIN","secretario-chefe do gabin","gabin's chief secretary"
"449","SECRETARIO ADJUNTO DO GAB","SECRETARIO ADJUNTO DO GAB","secretario adjunto do gab","gab assistant secretary"
"450","OUVIDOR GERAL DO ESTADO","OUVIDOR GERAL DO ESTADO","ouvidor geral do estado","state ombudsman"
"451","CHEFE DO GABINETE DO VICE","CHEFE DO GABINETE DO VICE","chefe do gabinete do vice","vice's office chief"
"452","VICE-GOVERNADOR DE ESTADO","VICE-GOVERNADOR DE ESTADO","vice-governador de estado","deputy governor of state"
"453","FUNCAO GRATIFICADA","FUNCAO GRATIFICADA","funcao gratificada","gratified function"
"454","CORREGEDOR GERAL","CORREGEDOR GERAL","corregedor geral","general corregedor"
"455","REITOR","REITOR","reitor","rector"
"456","ASSESSOR II","ASSESSOR II","assessor ii","advisor ii"
"457","COORDENADOR ESPECIAL","COORDENADOR ESPECIAL","coordenador especial","special coordinator"
"458","COORDENADOR GERAL ADMINIS","COORDENADOR GERAL ADMINIS","coordenador geral adminis","general coordinator adminis"
"459","COORDENADOR GERAL JURIDIC","COORDENADOR GERAL JURIDIC","coordenador geral juridic","general juridic coordinator"
"460","DIRETOR FINANCEIRO","DIRETOR FINANCEIRO","diretor financeiro","chief financial officer"
"461","FUNC TRIBUNAL JUSTICA","FUNC TRIBUNAL JUSTICA","func tribunal justica","func justical court"
"462","ASSESSOR I","ASSESSOR I","assessor i","advisor i"
"463","DIRETOR GERAL","DIRETOR GERAL","diretor geral","general director"
"464","DIRETOR GERAL ADJUNTO","DIRETOR GERAL ADJUNTO","diretor geral adjunto","deputy general director"
"465","INTENDENTE GERAL ADJUNTO","INTENDENTE GERAL ADJUNTO","intendente geral adjunto","assistant general intendant"
"466","CHEFE DE REPRESENTACAO","CHEFE DE REPRESENTACAO","chefe de representacao","head of representation"
"467","PREFEITURA MUNICIPAL DE M","PREFEITURA MUNICIPAL DE M","prefeitura municipal de m","city hall of m"
"468","PROFESSORA NORMALISTA","PROFESSORA NORMALISTA","professora normalista","normalist teacher"
"469","ASSESSOR TECNICO DO QUADR","ASSESSOR TECNICO DO QUADR","assessor tecnico do quadr","quadr technical advisor"
"470","ATOR","ATOR","ator","actor"
"471","VIGILANTE","VIGILANTE","vigilante","vigilant"
"472","PRESIDENTE DA JUNTA COMER","PRESIDENTE DA JUNTA COMER","presidente da junta comer","president of the board eat"
"473","DIRETOR JURIDICO","DIRETOR JURIDICO","diretor juridico","legal director"
"474","SECRETARIO ADMINISTRATIVO","SECRETARIO ADMINISTRATIVO","secretario administrativo","administrative secretary"
"475","COORDENADOR GERAL JU","COORDENADOR GERAL JU","coordenador geral ju","general coordinator ju"
"476","GESTOR DE INFORMATICA E I","GESTOR DE INFORMATICA E I","gestor de informatica e i","informatics manager and i"
"477","MONTADOR DE FILME","MONTADOR DE FILME","montador de filme","movie assembler"
"478","TECNICO DE EXTERNA","TECNICO DE EXTERNA","tecnico de externa","external technician"
"479","BIOLOGISTA","BIOLOGISTA","biologista","biologist"
"480","ASSESSOR DE DIRETORIA","ASSESSOR DE DIRETORIA","assessor de diretoria","board advisor"
"481","RESIDENCIA EM AUDIOLOGIA","RESIDENCIA EM AUDIOLOGIA","residencia em audiologia","residence in audiology"
"482","GESTOR ESP CIENCIA E TEC","GESTOR ESP CIENCIA E TEC","gestor esp ciencia e tec","manager esp ciencia and tec"
"483","AUXILIAR TECNICO ESPECIAL","AUXILIAR TECNICO ESPECIAL","auxiliar tecnico especial","special technical assistant"
"484","ASSISTENTE TEC ESP - TECN","ASSISTENTE TEC ESP - TECN","assistente tec esp - tecn","assistant tec esp - tecn"
"485","AUXILIAR TECNICO ADMINIST","AUXILIAR TECNICO ADMINIST","auxiliar tecnico administ","administ technical assistant"
"486","ASSISTENTE DE PROC. PARA","ASSISTENTE DE PROC. PARA","assistente de proc. para","proc. to"
"487","TEC EM EDIFICACOES","TEC EM EDIFICACOES","tec em edificacoes","tec in buildings"
"488","ASSISTENTE TEC. ESP. - TE","ASSISTENTE TEC. ESP. - TE","assistente tec. esp. - te","assistant tec. esp. - te"
"489","GESTOR ESP. EM CIENCIA E","GESTOR ESP. EM CIENCIA E","gestor esp. em ciencia e","esp. in science and"
"490","ANALISTA ADMINISTRATIVO","ANALISTA ADMINISTRATIVO","analista administrativo","administrative analyst"
"491","ASSIST. EM SERVICOS DE ED","ASSIST. EM SERVICOS DE ED","assist. em servicos de ed","assist on ed"
"492","AUXILIAR EM SERVICOS DE E","AUXILIAR EM SERVICOS DE E","auxiliar em servicos de e","assist in and"
"493","GESTOR DE PLANEJAMENTO DE","GESTOR DE PLANEJAMENTO DE","gestor de planejamento de","planning manager"
"494","DIRETOR ADMINISTRATIVO","DIRETOR ADMINISTRATIVO","diretor administrativo","managing director"
"495","DIRETOR ESPECIAL","DIRETOR ESPECIAL","diretor especial","special director"
"496","PROC. AUT. ESTAD 4 CLASSE","PROC. AUT. ESTAD 4 CLASSE","proc. aut. estad 4 classe","proc. aut. 4 -class"
"497","TECNICO EM EDUCACAO","TECNICO EM EDUCACAO","tecnico em educacao","education technician"
"498","ADERISTA","ADERISTA","aderista","adherent"
"499","ANALISTA DE SISTEMAS","ANALISTA DE SISTEMAS","analista de sistemas","systems analyst"
"500","ASSESSOR TECNICO - AS3","ASSESSOR TECNICO - AS3","assessor tecnico - as3","technical advisor - as3"
"501","ASSESSOR TECNICO - AS2","ASSESSOR TECNICO - AS2","assessor tecnico - as2","technical advisor - as2"
"502","CHEFE DE NUCLEO","CHEFE DE NUCLEO","chefe de nucleo","nucleus chief"
"503","DIRETOR DE DESENVOLVIMENT","DIRETOR DE DESENVOLVIMENT","diretor de desenvolviment","development director"
"504","GERENTE DE COMPLIANCE","GERENTE DE COMPLIANCE","gerente de compliance","compliance manager"
"505","GESTOR DE PROJETOS","GESTOR DE PROJETOS","gestor de projetos","project manager"
"506","TEC EM MULTIMEIOS DIDATIC","TEC EM MULTIMEIOS DIDATIC","tec em multimeios didatic","tec in multimedia didatic"
"507","GERENTE CONTABIL","GERENTE CONTABIL","gerente contabil","accounting manager"
"508","COORDENADOR DE GABINETE","COORDENADOR DE GABINETE","coordenador de gabinete","cabinet coordinator"
